3690	13800	21000	25600	28100	29500	29800
3.7	2.1	0.9	0.9	1.0	1.1	1.2
3720	13100	19800	20500	29800	34000	34500
3.7	1.9	0.8	0.9	1.1	1.1	1.2
4010	14200	20300	22600	29500	32100	33100
3.9	2.1	1.2	1.3	1.5	1.5	1.6
4660	16400	22700	24100	27000	31900	32100
4.1	2.3	1.4	1.5	1.5	1.6	1.7
3740	10600	24000	25900	32100	33400	35100
3.8	2.1	1.4	1.4	1.5	1.7	1.7
6280	47600	53500	53800	72800	74200	81000
5.1	4.8	1.7	1.9	2.1	3.4	3.4
3260	16200	19100	22300	24800	31000	38400
3.1	2.3	1.5	1.6	1.6	1.7	1.9
1500	8170	10600	12000	14600	17000	19600
2.7	1.9	0.7	0.8	0.9	0.9	1.0
951	6550	7400	10700	13200	14100	14900
3.1	1.5	0.7	0.8	0.8	0.8	0.9
712	4020	4570	8190	10900	12300	14400
2.1	1.5	0.5	0.6	0.7	0.7	0.8
612	3603	4510	7980	10300	13700	15100
2.0	1.0	0.4	0.6	0.7	0.7	0.8
623	4740	5180	7040	14300	21400	21500
1.9	0.9	0.4	0.6	0.8	0.8	0.9
642	3650	5400	7240	15100	20200	22100
2.1	1.2	0.4	0.5	0.7	0.8	0.8
